Average Response Time,Request Type,Frequency,Size
16.609455924481153,1,1,0
5.086306948214769,1,1,0
11.176053900271654,1,1,0
9.677175898104906,1,1,0
14.780680648982525,1,1,0
6.031498312950134,1,1,0
4.863451234996319,1,1,0
5.3458488546311855,1,1,0
7.365318946540356,1,1,0
8.291896432638168,1,1,0
4.285646136850119,1,1,0
7.206438109278679,1,1,0
15.207752119749784,1,1,0
14.825889840722084,1,1,0
7.355690002441406,1,1,0
7.774204947054386,1,1,0
9.168599266558886,1,1,0
2.2014868445694447,1,1,0
1.9284123554825783,1,1,0
2.5646667927503586,1,1,0
16.34753542020917,1,1,0
8.118896279484034,1,1,0
7.640368305146694,1,1,0
8.255915250629187,1,1,0
14.95372736826539,1,1,0
11.916915886104107,1,1,0
4.993701819330454,1,1,0
7.5946468859910965,1,1,0
2.8776037506759167,1,1,0
6.34719617664814,1,1,0
7.096356246620417,1,1,0
2.493572887033224,1,1,0
2.647144254297018,1,1,0
4.604665096849203,1,1,0
1.9759032875299454,1,1,0
5.318676121532917,1,1,0
1.5932261012494564,1,1,0
5.3869690746068954,1,1,0
5.501678213477135,1,1,0
3.756963647902012,1,1,0
6.101710256189108,1,1,0
2.1279240027070045,1,1,0
1.7340676859021187,1,1,0
1.751577015966177,1,1,0
4.215590190142393,1,1,0
6.159235257655382,1,1,0
2.3300438188016415,1,1,0
8.09811195358634,1,1,0
2.5024539791047573,1,1,0
7.593806833028793,1,1,0
4.708852153271437,1,1,0
2.62081203982234,1,1,0
9.071930777281523,1,1,0
5.417706910520792,1,1,0
6.717187352478504,1,1,0
6.84982119128108,1,1,0
2.4821190163493156,1,1,0
6.4011430367827415,1,1,0
18.85617384687066,1,1,0
6.286852061748505,1,1,0
0.9115650318562984,1,1,0
2.4335039779543877,1,1,0
6.620436906814575,1,1,0
6.475761067122221,1,1,0
4.480292089283466,1,1,0
4.534262232482433,1,1,0
4.940981045365334,1,1,0
8.796198293566704,1,1,0
2.8267432935535908,1,1,0
5.403620656579733,1,1,0
4.929286893457174,1,1,0
6.351416930556297,1,1,0
6.021095905452967,1,1,0
4.065910819917917,1,1,0
6.415562238544226,1,1,0
8.991837035864592,1,1,0
5.27421897277236,1,1,0
2.5057122111320496,1,1,0
6.094480864703655,1,1,0
2.505962271243334,1,1,0
1.2459587305784225,1,1,0
2.643933054059744,1,1,0
11.809553019702435,1,1,0
5.748406983911991,1,1,0
2.4849828332662582,1,1,0
2.7027069590985775,1,1,0
4.438328091055155,1,1,0
4.1768839582800865,1,1,0
3.928074613213539,1,1,0
7.76655413210392,1,1,0
3.0375467613339424,1,1,0
5.6775095872581005,1,1,0
1.7492971383035183,1,1,0
6.270666141062975,1,1,0
1.4082333073019981,1,1,0
6.265811622142792,1,1,0
5.391482263803482,1,1,0
1.9572540186345577,1,1,0
5.431097000837326,1,1,0
3.0662021599709988,1,1,0
2.6133586652576923,1,1,0
6.664499174803495,1,1,0
5.384684074670076,1,1,0
4.158779047429562,1,1,0
3.705263137817383,1,1,0
9.844787884503603,1,1,0
5.963994190096855,1,1,0
3.4062080085277557,1,1,0
18.67125788703561,1,1,0
5.593478213995695,1,1,0
4.726128652691841,1,1,0
3.7161442451179028,1,1,0
4.766397178173065,1,1,0
3.7970030680298805,1,1,0
3.7448378279805183,1,1,0
6.102839019149542,1,1,0
8.867596741765738,1,1,0
12.118431739509106,1,1,0
4.071386065334082,1,1,0
6.374611984938383,1,1,0
15.522921923547983,1,1,0
4.344413056969643,1,1,0
4.094799980521202,1,1,0
3.5629877820611,1,1,0
6.022641900926828,1,1,0
4.801617935299873,1,1,0
14.99996380880475,1,1,0
7.119449786841869,1,1,0
4.131962079554796,1,1,0
9.044180158525705,1,1,0
3.5342550836503506,1,1,0
9.432274848222733,1,1,0
5.690402816981077,1,1,0
7.542110979557037,1,1,0
3.6091702058911324,1,1,0
5.466244649142027,1,1,0
6.93924305960536,1,1,0
9.190618991851807,1,1,0
3.5947533324360847,1,1,0
5.9103285893797874,1,1,0
7.4474988505244255,1,1,0
6.225049961358309,1,1,0
5.353434942662716,1,1,0
3.5889213904738426,1,1,0
6.472144275903702,1,1,0
8.692174218595028,1,1,0
2.6759221218526363,1,1,0
7.0128291845321655,1,1,0
7.245400454849005,1,1,0
5.4841311648488045,1,1,0
3.5288329236209393,1,1,0
6.176433060318232,1,1,0
10.554204229265451,1,1,0
4.741684067994356,1,1,0
2.5097504258155823,1,1,0
2.8841602616012096,1,1,0
7.980448193848133,1,1,0
3.4240619279444218,1,1,0
4.424846731126308,1,1,0
17.337587662041187,1,1,0
6.567964795976877,1,1,0
3.8315760903060436,1,1,0
4.001557361334562,1,1,0
8.712092880159616,1,1,0
7.408752106130123,1,1,0
5.35951042547822,1,1,0
3.906048834323883,1,1,0
5.9203458949923515,1,1,0
6.661596242338419,1,1,0
4.290079697966576,1,1,0
4.3812040239572525,1,1,0
4.034209996461868,1,1,0
3.8973470218479633,1,1,0
8.281462825834751,1,1,0
12.275699060410261,1,1,0
22.401437163352966,1,1,0
1.9045076332986355,1,1,0
16.48513227701187,1,1,0
9.931275621056557,1,1,0
13.940094970166683,1,1,0
8.94267437979579,1,1,0
18.49438389763236,1,1,0
3.4940489567816257,1,1,0
4.8616798594594,1,1,0
4.403909202665091,1,1,0
6.538160145282745,1,1,0
3.483239095658064,1,1,0
14.535262249410152,1,1,0
17.43333088234067,1,1,0
12.461831793189049,1,1,0
5.874071270227432,1,1,0
15.885568223893642,1,1,0
25.34297714009881,1,1,0
16.834058798849583,1,1,0
10.01421781256795,1,1,0
12.523036915808916,1,1,0
16.417447943240404,1,1,0
14.7400489076972,1,1,0
15.311603900045156,1,1,0
14.372454024851322,1,1,0
16.192195937037468,1,1,0
11.409630998969078,1,1,0
14.708003029227257,1,1,0
12.741104699671268,1,1,0
15.121332835406065,1,1,0
16.664580907672644,1,1,0
8.416818920522928,1,1,0
12.684292159974575,1,1,0
17.334999050945044,1,1,0
17.855887301266193,1,1,0
16.465720254927874,1,1,0
30.374797992408276,1,1,0
13.659561984241009,1,1,0
15.850439667701721,1,1,0
3.815608099102974,1,1,0
13.478822074830532,1,1,0
5.640827119350433,1,1,0
20.003726240247488,1,1,0
14.978171791881323,1,1,0
2.869639080017805,1,1,0
4.038452170789242,1,1,0
4.795575048774481,1,1,0
17.50136073678732,1,1,0
4.076272714883089,1,1,0
14.307613018900156,1,1,0
14.708213973790407,1,1,0
18.036738969385624,1,1,0
15.10517904534936,1,1,0
14.256767928600311,1,1,0
5.185407120734453,1,1,0
13.35932221263647,1,1,0
11.401652824133635,1,1,0
15.058617107570171,1,1,0
15.283532906323671,1,1,0
5.902706645429134,1,1,0
13.394367881119251,1,1,0
14.866771176457405,1,1,0
7.281458005309105,1,1,0
11.49291405454278,1,1,0
13.466625940054655,1,1,0
25.82349069416523,1,1,0
17.041497863829136,1,1,0
6.952992174774408,1,1,0
5.03920204937458,1,1,0
6.463174242526293,1,1,0
3.50967887789011,1,1,0
25.05851536989212,1,1,0
20.588518120348454,1,1,0
3.54502210393548,1,1,0
19.451997242867947,1,1,0
14.09107306972146,1,1,0
4.720814060419798,1,1,0
